SMILES1,SMILES2,cocrystallization
n1(Cc2cc(C)cc(Cn3cncc3)c2O)cncc1,c1ccc(C(O)=O)cc1C(O)=O,1
C(CCC(=O)N)(N)=O,NC(c1ccncc1)=O,0
C(C(O)C(C(O)=O)O)(=O)O,n1c(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)cccc1,0
C1C2=CC(=O)CCC2(C)C2C(C1)C1CCC(C(=O)C)C1(C)CC2,Fc1c(F)c(F)c(F)c2c(F)c(F)c(F)c(F)c21,0
c1(C(N)=O)ccncc1,C(C(C)C)Oc1c(C#N)cc(-c2sc(C(O)=O)c(C)n2)cc1,1
c12c3c(ccc1)-c1ccccc1-c3ccc2,c1cccc2ccccc12,0
[O-][N+](c1cc(C(=O)O)cc([N+]([O-])=O)c1)=O,c1(I)c(C)[nH]nc1C,1
Oc1ccccc1C(=O)NCCN,[N+]([O-])(c1c(O)c([N+](=O)[O-])cc([N+]([O-])=O)c1)=O,1
c1(C=Cc2ccncc2)ccncc1,c1(C(O)=O)ccc(C(O)=O)cc1,1
O=C1N(CC(N)=O)CCC1,C(O)(=O)C(CC(=O)O)(O)CC(=O)O,1
c1c2c(ccc1)-c1c-2cccc1,c1cc(C(O)=O)cc([N+](=O)[O-])c1,1
OC(C(Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)O)C(O)CO,O(c1ccccc1C(O)=O)C,0
o1c(-c2ccccc2)cc(=O)c2c(O)c(O)c(O)cc12,NC(c1ccnc(CC)c1)=S,1
O=C(N)c1ncn2c1nnn(C)c2=O,COc1ccc(C2Oc3c(c(O)cc(O)c3)C(=O)C2)cc1O,1
OCC(O)C1OC(=O)C(O)=C1O,C(c1ccc([N+]([O-])=O)cc1)(=O)N,0
c1ccc(-c2ccncc2)cc1,Ic1ccc(I)cc1,0
C1(N)CCCC1,C(O)(c1ccccc1)=O,1
c1cc(I)ccc1I,c1(O)cccc(O)c1,0
c12cccc(C#N)c1cccc2,c1c(O)cccc1C#N,0
c1c2ccccc2ccc1,c1cc(C(C)C)c(O)cc1C,0
c1cc(C(O)=O)ccc1,C(=O)(O)c1c(=O)c2ccc(C)nc2n(CC)c1,0
C(O)(C(CC(C)C)N)=O,OC(Cc1c2c(n(C(=O)c3ccc(Cl)cc3)c1C)ccc(OC)c2)=O,0
c1c([N+]([O-])=O)c(O)c([N+](=O)[O-])cc1[N+]([O-])=O,c1nccc(-c2ccccc2)c1,1
OC(C=C(C(=O)O)CC(O)=O)=O,c1(C(N)=O)ccc(O)cc1,0
c1(C(=O)N)ccccc1[N+](=O)[O-],c1cc(C(O)=O)cnc1,0
c1cnccc1C(=O)N,n1nc(S(=O)(=O)N)sc1NC(C)=O,0
c1ccc(C(=O)N)cc1,OC(c1ccccc1[N+]([O-])=O)=O,1
c1cccc(C(N)=O)c1,c1ccc(C(N)=O)c([N+](=O)[O-])c1,0
c12c(cccc1)S(=O)(=O)N(C)C(C(=O)Nc1ncccc1)=C2O,c1cc(C(=O)O)c(N)cc1,0
S(=O)(=O)(N)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,C(O)(CCCCC(O)=O)=O,0
OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,c1cc2c(cc1)C=Cc1ccccc1N2C(N)=O,0
C1CC(NCc2ccncc2)=CC(=O)C1,OC(CCCCC(=O)O)=O,1
C(C(C(=O)O)N)CC(O)=O,Fc1cc(C(=O)O)ccc1,0
C(O)(=O)c1cc(O)c(O)c(O)c1,O=S(=O)(N)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,0
c1c(O)ccc(O)c1,NC(=O)c1c(C)cccc1,0
C(CCCCC(=O)O)(=O)O,c1(-c2cc(-c3ccc(OC)nc3)c(N)nc2)ccc(S(=O)(=O)C)cc1,1
N1C(=O)c2c(cccc2)C1=O,C1(O)CCC2C1(C)CCC1c3ccc(O)cc3CCC21,0
c1(F)c(F)c2c(c(F)c1F)C(=O)c1c(c(F)c(F)c(F)c1F)C2=O,c1c2c(ccc1)cc1ccccc1c2,1
O=C(c1c(C)cccc1)O,n1ccc(-c2ccncc2)cc1,0
Brc1ccc(N)nc1,OC(CCC(O)=O)=O,1
N(C)c1c2c(nc[nH]2)ncn1,[O-][N+](=O)c1cc([N+](=O)[O-])cc([N+]([O-])=O)c1O,1
c1c(C(=O)O)ccc(OC)c1,c1c(C(O)=O)cc([N+]([O-])=O)cc1[N+](=O)[O-],0
CC(Nc1ccc(O)cc1)=O,c1ccc2c(cc3c(cccc3)c2)c1,0
O=[N+](c1ccc(C(O)=O)cc1)[O-],n1ccc(CCc2ccncc2)cc1,1
c1(Br)ccc(C(O)=O)cc1,c1c(C2CC(O)(c3ccccc3)C([N+](=O)[O-])C(c3ccccc3)C2[N+](=O)[O-])cccc1,1
C(c1ccccc1)(=O)O,O=C(O)c1ccc(Cl)cc1,0
C(O)(c1cn(CC)c2c(ccc(C)n2)c1=O)=O,c1ccc(O)cc1O,1
c1ncc(O)cc1,O=C(c1c(O)ccc(O)c1)O,1
C(C(O)=O)(c1ccc(CC(C)C)cc1)C,c12cc(OC)ccc1nc(S(=O)Cc1c(C)c(OC)c(C)cn1)[nH]2,0
C(C(C=Cc1ccncc1)=O)=Cc1ccncc1,c1(O)cccc(O)c1,1
C(c1cnccc1)(N)=O,O=C(O)c1c(O)ccc(O)c1,1
C(O)(c1ccc(N)cc1)=O,C(CCCCC(O)=O)CC,0
c12c(c(O)ccc1)nccc2,c1c([N+](=O)[O-])cc(C(=O)O)c(O)c1[N+]([O-])=O,1
C1(C)=NCCNC(C)=C1,c1(O)c([N+]([O-])=O)cc([N+]([O-])=O)cc1[N+](=O)[O-],1
c1(=O)c(F)c[nH]c(=O)[nH]1,Oc1c2c(=O)c(O)c(-c3ccc(O)cc3)oc2cc(O)c1,1
c1(C)c(C)cc(C)c(C)c1,N#CCCC#N,0
C1(CC2C(=O)c3cc(OC)c(OC)cc3C2)CCN(Cc2ccccc2)CC1,C(C(O)=O)=CC(=O)O,1
c1cc(CCc2ccncc2)ccn1,c1ccc(O)c(C(c2ccccc2O)c2ccc(O)cc2)c1,1
c1c(C#N)cccn1,c1c(O)cccc1O,0
